Country,GDPPerCapita
Afghanistan,550.0684588
Albania,4537.579056
Algeria,4055.247211
American Samoa,11394.4753
Andorra,39146.54884
Angola,4100.289786
Antigua and Barbuda,14803.01093
Argentina,14398.35877
Armenia,3936.79832
Aruba,25655.10202
Australia,53799.93809
Austria,47290.91165
Azerbaijan,4131.61831
"Bahamas",30762.01244
Bahrain,23655.0356
Bangladesh,1516.51327
Barbados,16356.98011
Belarus,5727.511718
Belgium,43323.80734
Belize,4971.201636
Benin,827.3936794
Bhutan,3130.233543
Bolivia,3393.955818
Bosnia and Herzegovina,5148.208517
Botswana,7595.611141
Brazil,9821.407686
Brunei Darussalam,28290.5852
Bulgaria,8227.960406
Burkina Faso,642.0371483
Burundi,292.0052103
Cabo Verde,3244.409561
Cambodia,1384.423187
Cameroon,1451.865747
Canada,45032.11991
Central African Republic,418.411287
Chad,662.5001146
Chile,15346.4497
China,8826.994096
Colombia,6408.920012
Comoros,1312.333925
"Congo, Dem. Rep.",462.7795441
"Congo, Rep.",1654.010322
Costa Rica,11677.26904
Cote d'Ivoire,1537.504031
Croatia,13382.71985
Cuba,8433.092699
Cyprus,25233.57098
Czech Republic,20368.13856
Denmark,56307.5083
Djibouti,1927.589706
Dominica,6719.337166
Dominican Republic,7052.258839
Ecuador,6273.488892
"Egypt.",2412.727082
El Salvador,3889.308769
Equatorial Guinea,9697.630234
Estonia,19704.65504
Eswatini,3242.751065
Ethiopia,767.5634778
Fiji,5589.388833
Finland,45703.32787
France,38476.65864
Gabon,7413.795207
"Gambia, The",709.077158
Georgia,4057.286081
Germany,44469.90906
Ghana,2046.109986
Greece,18613.42387
Grenada,10451.02988
Guam,35675.79417
Guatemala,4470.989572
Guinea,823.4937155
Guinea-Bissau,723.6094119
Guyana,4655.144448
Haiti,765.6839246
Honduras,2480.125929
"Hong Kong SAR, China",46193.61452
Hungary,14224.84646
Iceland,70056.87339
India,1942.097401
Indonesia,3846.864323
"Iran, Islamic Rep.",5593.853783
Iraq,5017.968065
Ireland,69330.69015
Israel,40270.25135
Italy,31952.97592
Jamaica,5114.041081
Japan,38428.09732
Jordan,4129.751664
Kazakhstan,9030.383889
Kenya,1594.834926
Kiribati,1594.29287
"Korea, Rep.",29742.83886
Kosovo,3957.441819
Kuwait,29040.36371
Kyrgyz Republic,1219.824048
Lao PDR,2457.377414
Latvia,15594.28602
Lebanon,8808.589448
Lesotho,1154.444246
Liberia,694.3195828
Libya,5978.042926
Lithuania,16680.6781
Luxembourg,104103.0367
"Macao SAR, China",80892.82133
"Macedonia, FYR",5414.614823
Madagascar,449.7223819
Malawi,338.4844303
Malaysia,9951.544153
Maldives,11151.06921
Mali,827.0064008
Malta,26903.82452
Marshall Islands,3843.119884
Mauritania,1136.764591
Mauritius,10490.50397
Mexico,8910.333177
"Micronesia, Fed. Sts.",3187.556848
Moldova,2289.877719
Mongolia,3717.473389
Montenegro,7782.83979
Morocco,3007.242877
Mozambique,426.2219619
Myanmar,1256.660675
Namibia,5230.771726
Nauru,8343.827999
Nepal,849.0110426
Netherlands,48223.15549
New Zealand,42940.57829
Nicaragua,2221.806445
Niger,378.0592523
Nigeria,1968.425523
Northern Mariana Islands,28888.00232
Norway,75504.56626
Oman,15668.36663
Pakistan,1547.853414
Palau,13338.09655
Panama,15196.39734
Papua New Guinea,2488.899697
Paraguay,5823.766137
Peru,6571.928645
Philippines,2988.952703
Poland,13863.17788
Portugal,21136.29721
Qatar,63249.42243
Romania,10817.83379
Russia,10743.09659
Rwanda,748.2920943
Samoa,4280.838915
San Marino,48888.02517
Sao Tome and Principe,1921.284473
Saudi Arabia,20849.29137
Senegal,1329.304228
Serbia,5900.038108
Seychelles,15629.30594
Sierra Leone,499.5291033
Singapore,57714.29663
Slovak Republic,17604.95098
Slovenia,23597.29173
Solomon Islands,2132.115068
Somalia,478.3441749
South Africa,6151.077955
Spain,28156.81584
Sri Lanka,4073.736519
St. Kitts and Nevis,17924.06546
St. Lucia,9715.194786
St. Vincent and the Grenadines,7145.076837
Sudan,2898.549346
Suriname,5317.389539
Sweden,53442.00828
Switzerland,80189.69686
Tajikistan,801.0508713
Tanzania,936.330768
Thailand,6595.004125
Timor-Leste,2279.253204
Togo,610.1517301
Tonga,3959.079757
Trinidad and Tobago,16126.37095
Tunisia,3464.41689
Turkey,10546.15256
Turkmenistan,6586.625863
Tuvalu,3549.974741
Uganda,606.4684535
Ukraine,2639.824326
United Arab Emirates,40698.84934
United Kingdom,39720.44343
United States of America,59531.66196
Uruguay,16245.59837
Uzbekistan,1533.852038
Vanuatu,3123.614591
Vietnam,2342.244003
West Bank and Gaza,3094.725747
"Yemen, Rep.",1106.803906
Zambia,1513.276316
Zimbabwe,1333.395663
